TOWNSN,LAT,LON,Point,TOWNID,name,TOWNID8,name_eng
10002048,24.807426,121.800476,POINT (121.80047607421875 24.80742645263672),1000205,宜蘭縣/礁溪鄉,10002050,yilanxianjiaoxixiang
-1,24.807045,121.83124,POINT (121.83123779296875 24.807044982910156),7654321,海上,0,haishang
-1,24.806664,121.86203,POINT (121.86203002929688 24.806663513183594),7654321,海上,0,haishang
-1,24.806282,121.89279,POINT (121.89279174804688 24.80628204345703),7654321,海上,0,haishang
-1,24.805885,121.923584,POINT (121.923583984375 24.805885314941406),7654321,海上,0,haishang
-1,24.805473,121.954346,POINT (121.954345703125 24.80547332763672),7654321,海上,0,haishang
-1,24.805061,121.98511,POINT (121.985107421875 24.80506134033203),7654321,海上,0,haishang
-1,24.804657,122.0159,POINT (122.01589965820312 24.804656982421875),7654321,海上,0,haishang
-1,24.80423,122.04666,POINT (122.04666137695312 24.804229736328125),7654321,海上,0,haishang
-1,24.844421,119.24576,POINT (119.24575805664062 24.84442138671875),7654321,海上,0,haishang
-1,24.844582,119.27655,POINT (119.27655029296875 24.844581604003906),7654321,海上,0,haishang
-1,24.844719,119.30731,POINT (119.30731201171875 24.84471893310547),7654321,海上,0,haishang
-1,24.844864,119.338104,POINT (119.33810424804688 24.844863891601562),7654321,海上,0,haishang
-1,24.845001,119.3689,POINT (119.368896484375 24.845001220703125),7654321,海上,0,haishang
-1,24.845116,119.39969,POINT (119.39968872070312 24.845115661621094),7654321,海上,0,haishang
-1,24.845245,119.43048,POINT (119.43048095703125 24.845245361328125),7654321,海上,0,haishang
-1,24.845375,119.46124,POINT (119.46124267578125 24.845375061035156),7654321,海上,0,haishang
-1,24.84549,119.492035,POINT (119.49203491210938 24.845489501953125),7654321,海上,0,haishang
-1,24.845573,119.52283,POINT (119.5228271484375 24.84557342529297),7654321,海上,0,haishang
-1,24.845665,119.55362,POINT (119.55361938476562 24.845664978027344),7654321,海上,0,haishang
-1,24.845772,119.58441,POINT (119.58441162109375 24.84577178955078),7654321,海上,0,haishang
-1,24.845856,119.61517,POINT (119.61517333984375 24.845855712890625),7654321,海上,0,haishang
-1,24.845924,119.645966,POINT (119.64596557617188 24.845924377441406),7654321,海上,0,haishang
-1,24.845993,119.67676,POINT (119.6767578125 24.845993041992188),7654321,海上,0,haishang
-1,24.84607,119.70755,POINT (119.70755004882812 24.8460693359375),7654321,海上,0,haishang
