NSC,NSC_SUB,DICT,REGION,1,2,3,4,5,6,7,8,9,10,11,12
48,,4401,馬公機場,0.79 ,0.83 ,0.79 ,1.07 ,1.20 ,1.24 ,1.25 ,1.12 ,1.09 ,1.04 ,0.84 ,0.74 
48,,2102,臺南機場,0.96 ,0.93 ,0.94 ,1.03 ,1.08 ,1.03 ,1.07 ,1.05 ,1.03 ,1.04 ,0.90 ,0.94 
48,,4012,嘉義機場,1.01 ,0.91 ,0.99 ,0.97 ,1.04 ,1.04 ,1.09 ,1.01 ,0.97 ,1.01 ,0.97 ,1.01 
48,,4406,七美機場,0.68 ,1.12 ,0.78 ,1.08 ,1.01 ,1.16 ,1.05 ,0.98 ,1.15 ,1.18 ,0.91 ,0.90 
48,,4405,望安機場,0.55 ,0.55 ,0.83 ,1.38 ,0.97 ,1.10 ,1.24 ,1.10 ,1.24 ,1.24 ,0.97 ,0.83 
48,,4616,蘭嶼機場,0.68 ,0.98 ,0.81 ,1.69 ,1.23 ,1.53 ,1.19 ,1.15 ,0.82 ,0.96 ,0.38 ,0.57 
48,,4611,綠島機場,0.86 ,0.90 ,1.02 ,1.12 ,1.02 ,1.40 ,0.89 ,1.23 ,0.81 ,1.10 ,0.86 ,0.79 
48,,5004,金門機場,1.01 ,0.97 ,0.97 ,0.96 ,0.98 ,1.00 ,1.05 ,1.00 ,0.99 ,1.09 ,1.05 ,0.93 
48,,5102,北竿機場,0.69 ,0.55 ,0.63 ,0.94 ,1.40 ,0.96 ,1.40 ,1.31 ,1.28 ,1.29 ,0.77 ,0.79 
48,,5101,南竿機場,0.68 ,0.65 ,0.76 ,0.99 ,1.24 ,1.00 ,1.20 ,1.21 ,1.12 ,1.19 ,1.02 ,0.93 
50,,,,0.95 ,0.66 ,0.62 ,0.93 ,1.10 ,1.80 ,0.76 ,0.83 ,0.89 ,0.98 ,0.91 ,1.58 
51,,1101,基隆港,0.83 ,0.75 ,1.01 ,0.95 ,1.17 ,1.01 ,1.09 ,1.02 ,1.02 ,1.05 ,1.05 ,1.04 
51,,3123,臺北港,0.84 ,0.68 ,0.92 ,0.90 ,1.17 ,1.12 ,1.26 ,1.14 ,0.90 ,1.03 ,1.00 ,1.04 
51,,3606,臺中港,0.93 ,0.90 ,1.00 ,1.05 ,0.98 ,1.04 ,1.05 ,0.99 ,0.94 ,1.08 ,0.95 ,1.09 
51,,0202,高雄港,0.92 ,0.90 ,1.04 ,1.00 ,1.04 ,1.03 ,1.03 ,1.02 ,0.96 ,1.04 ,0.94 ,1.09 
51,,4501,花蓮港,0.81 ,0.77 ,0.94 ,0.92 ,1.30 ,1.22 ,1.19 ,1.07 ,0.90 ,1.07 ,0.82 ,1.00 
51,,3403,蘇澳港,0.48 ,0.78 ,0.45 ,0.88 ,1.16 ,1.08 ,0.93 ,1.28 ,0.95 ,1.27 ,1.42 ,1.34 
51,,2107,安平港,0.58 ,0.62 ,0.41 ,0.66 ,0.71 ,1.03 ,1.09 ,1.05 ,1.20 ,1.00 ,1.25 ,2.39 
51,,3913,麥寮港,1.05 ,0.95 ,1.01 ,1.00 ,1.10 ,0.95 ,0.98 ,0.85 ,0.79 ,1.14 ,1.01 ,1.16 
51,,4511,和平港,0.92 ,0.90 ,1.00 ,0.98 ,1.09 ,0.98 ,1.03 ,0.95 ,0.84 ,1.16 ,0.92 ,1.23 
51,,3112,深澳專用油港,0.97 ,1.13 ,0.50 ,1.36 ,1.10 ,0.97 ,0.62 ,0.86 ,1.28 ,0.68 ,1.10 ,1.41 
51,,3206,沙崙外海卸油浮筒,1.07 ,0.49 ,1.79 ,1.31 ,0.46 ,0.99 ,0.68 ,1.31 ,1.06 ,0.85 ,1.07 ,0.90 
51,,4216,永安液化天然氣接收站,1.14 ,0.67 ,0.67 ,0.96 ,1.05 ,1.03 ,1.14 ,1.09 ,1.12 ,1.14 ,0.97 ,1.03 
51,,4215,興達電廠卸煤碼頭,0.50 ,0.89 ,1.14 ,0.93 ,0.99 ,1.15 ,0.80 ,0.74 ,0.81 ,1.48 ,1.32 ,1.26 
51,,4002,布袋港,0.18 ,0.25 ,0.53 ,1.50 ,1.75 ,1.93 ,1.91 ,1.65 ,1.40 ,0.50 ,0.19 ,0.21 
51,,4401,馬公港,0.56 ,0.38 ,0.63 ,1.25 ,1.61 ,1.72 ,1.68 ,1.21 ,0.99 ,0.70 ,0.66 ,0.62 
51,,5002,金門港,1.05 ,0.79 ,1.08 ,1.03 ,1.08 ,1.04 ,1.01 ,1.06 ,0.71 ,1.02 ,1.04 ,1.09 
51,,5101,馬祖港,0.98 ,0.69 ,1.16 ,1.15 ,1.18 ,0.98 ,0.99 ,1.09 ,0.89 ,0.88 ,0.97 ,1.05 
60,,,,0.72 ,5.62 ,1.18 ,0.00 ,0.00 ,0.00 ,0.01 ,1.11 ,0.94 ,0.00 ,2.26 ,0.17 
62,,,,1.02 ,0.92 ,1.02 ,0.99 ,1.02 ,0.99 ,1.02 ,1.02 ,0.99 ,1.02 ,0.99 ,1.02 
63,A,0100,臺北市,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,7.20 ,4.80 ,0.00 ,0.00 ,0.00 ,0.00 
