dict,x,y,name
4508,294000,2610000,hualianxianfengbinxiang
5300,306000,2800000,sea
4224,192000,2534000,gaoxiongshineimenqu
5300,262000,2782000,sea
3619,225000,2667000,taizhongshitaipingqu
4332,226000,2461000,pingdongxianshizixiang
4105,162000,2562000,tainanshijialiqu
112,301000,2778000,taibeishibeitouqu
5300,179000,2682000,sea
3907,220000,2609000,yunlinxiangukengxiang
4614,231000,2470000,taidongxiandarenxiang
4507,298000,2616000,hualianxianguangfuxiang
3407,318000,2742000,yilanxianyuanshanxiang
3405,318000,2742000,yilanxianjiaoxixiang
4509,299000,2600000,hualianxianruisuixiang
3502,215000,2701000,miaolixianyuanlizhen
3704,201000,2639000,zhanghuaxianbeidouzhen
4323,219000,2442000,pingdongxianchechengxiang
1102,318000,2780000,jilongshiqiduqu
4326,213000,2530000,pingdongxiansandemenxiang
4018,220000,2586000,jiayixianalishanxiang
5300,171000,2490000,sea
4613,265000,2549000,taidongxianhaiduanxiang
5300,350000,2797000,sea
4303,196000,2489000,pingdongxiandonggangzhen
4613,250000,2568000,taidongxianhaiduanxiang
5300,324000,2627000,sea
1102,318000,2777000,jilongshiqiduqu
5300,155000,2540000,sea
3918,174000,2615000,yunlinxiansihuxiang
4327,232000,2514000,pingdongxianwutaixiang
4307,200000,2502000,pingdongxianlinluoxiang
4510,278000,2563000,hualianxianfulixiang
3518,242000,2698000,miaolixiantaianxiang
5300,257000,2806000,sea
105,299000,2769000,taibeishiwanhuaqu
5300,172000,2666000,sea
4513,256000,2573000,hualianxianzhuoxixiang
4612,251000,2532000,taidongxianyanpingxiang
5300,339000,2658000,sea
4011,184000,2599000,jiayixiantaibaoshi
3813,258000,2651000,nantouxianrenaixiang
3313,283000,2720000,xinzhuxianjianshixiang
1705,219000,2671000,taizhongshibeiqu
5300,342000,2721000,sea
1702,219000,2671000,taizhongshidongqu
3412,311000,2695000,yilanxiannanaoxiang
5300,209000,2716000,sea
4612,246000,2525000,taidongxianyanpingxiang
4614,229000,2487000,taidongxiandarenxiang
3313,281000,2713000,xinzhuxianjianshixiang
4609,272000,2542000,taidongxianluyexiang
5300,334000,2673000,sea
3709,193000,2669000,zhanghuaxianxianxixiang
3505,243000,2732000,miaolixiantoufenzhen
4511,307000,2665000,hualianxianxiulinxiang
4008,164000,2594000,jiayixiandongshixiang
4014,213000,2602000,jiayixianzhuqixiang
4607,272000,2542000,taidongxiandonghexiang
2106,165000,2548000,tainanshiannanqu
5300,139000,2494000,sea
4009,166000,2582000,jiayixianyizhuxiang
3706,198000,2649000,zhanghuaxianxihuzhen
5300,291000,2811000,sea
3723,189000,2651000,zhanghuaxianfangyuanxiang
4004,194000,2600000,jiayixianminxiongxiang
1107,329000,2778000,jilongshixinyiqu
4002,166000,2582000,jiayixianbudaizhen
5300,273000,2797000,sea
5300,153000,2474000,sea
4306,209000,2513000,pingdongxianzhangzhixiang
4326,219000,2526000,pingdongxiansandemenxiang
4113,179000,2572000,tainanshiliujiaqu
5300,326000,2802000,sea
3604,205000,2686000,taizhongshiqingshuiqu
3129,300000,2745000,xinbeishiwulaiqu
3126,341000,2773000,xinbeishigongliaoqu
4513,274000,2610000,hualianxianzhuoxixiang
4604,254000,2519000,taidongxianbeinanxiang
5300,282000,2812000,sea
4512,274000,2610000,hualianxianwanrongxiang
5300,312000,2649000,sea
4602,284000,2546000,taidongxianchenggongzhen
4106,182000,2553000,tainanshixinhuaqu
4605,240000,2472000,taidongxiandawuxiang
3128,313000,2786000,xinbeishiwanliqu
4606,254000,2509000,taidongxiantaimalixiang
5300,326000,2799000,sea
4011,183000,2598000,jiayixiantaibaoshi
4125,212000,2563000,tainanshinanhuaqu
3213,292000,2743000,taoyuanshifuxingqu
5300,346000,2698000,sea
3813,272000,2659000,nantouxianrenaixiang
3411,307000,2727000,yilanxiandatongxiang
5004,-18000,2722000,jinmenxianjinningxiang
5300,323000,2618000,sea
3813,250000,2657000,nantouxianrenaixiang
5300,158000,2524000,sea
5300,200000,2695000,sea
3513,229000,2699000,miaolixiansanyixiang
4405,99000,2574000,penghuxianwanganxiang
3513,227000,2700000,miaolixiansanyixiang
5300,323000,2812000,sea
3609,222000,2676000,taizhongshitanziqu
5300,357000,2728000,sea
5300,276000,2789000,sea
4612,239000,2526000,taidongxianyanpingxiang
3506,225000,2723000,miaolixianhoulongzhen
4333,231000,2452000,pingdongxianmudanxiang
3122,311000,2795000,xinbeishishimenqu
5300,136000,2520000,sea
3211,260000,2762000,taoyuanshixinwuqu
104,303000,2768000,taibeishizhongzhengqu
4018,225000,2586000,jiayixianalishanxiang
4221,214000,2534000,gaoxiongshiliuguiqu
3412,309000,2708000,yilanxiannanaoxiang
103,303000,2768000,taibeishidaanqu
5300,237000,2775000,sea
3616,204000,2670000,taizhongshidaduqu
4009,167000,2585000,jiayixianyizhuxiang
3503,224000,2711000,miaolixiantongxiaozhen
4604,251000,2524000,taidongxianbeinanxiang
5300,168000,2506000,sea
3802,238000,2650000,nantouxianbulizhen
4310,201000,2515000,pingdongxianyanbuxiang
4010,178000,2587000,jiayixianlucaoxiang
3808,226000,2643000,nantouxianzhongliaoxiang
5300,265000,2790000,sea
4327,234000,2523000,pingdongxianwutaixiang
3805,234000,2636000,nantouxianjijizhen
4612,240000,2524000,taidongxianyanpingxiang
4324,233000,2432000,pingdongxianmanzhouxiang
5300,348000,2667000,sea
4301,193000,2507000,pingdongxianpingdongshi
5300,261000,2807000,sea
5300,198000,2708000,sea
5300,321000,2674000,sea
3609,221000,2677000,taizhongshitanziqu
3909,196000,2629000,yunlinxiancitongxiang
5300,353000,2719000,sea
4511,304000,2654000,hualianxianxiulinxiang
5300,164000,2489000,sea
4013,206000,2589000,jiayixianzhongbuxiang
4224,190000,2533000,gaoxiongshineimenqu
5300,153000,2535000,sea
4309,201000,2519000,pingdongxianligangxiang
3115,291000,2780000,xinbeishiwuguqu
